,Heure_Début,Heure_Fin,Horaire,Durée,08h-09h,09h-10h,10h-11h,11h-12h,12h-13h,13h-14h,14h-15h,15h-16h,16h-17h,17h-18h,18h-19h,19h-20h,20h-21h,21h-22h,22h-23h,23h-00h,00h-01h,01h-02h,02h-03h,03h-04h,04h-05h,05h-06h,06h-07h,07h-08h
767,10:00:00,15:00:00,10:00:00 - 15:00:00,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
768,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,08:00:00,10:00:00,08:00:00 - 10:00:00,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
770,10:00:00,13:00:00,10:00:00 - 13:00:00,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
774,09:00:00,14:00:00,09:00:00 - 14:00:00,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
775,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,14:00:00,18:00:00,14:00:00 - 18:00:00,4.0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
778,10:00:00,15:00:00,10:00:00 - 15:00:00,5.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
779,13:00:00,15:00:00,13:00:00 - 15:00:00,2.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,15:00:00,18:00:00,15:00:00 - 18:00:00,3.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
783,09:00:00,13:00:00,09:00:00 - 13:00:00,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
784,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
787,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,13:00:00,18:00:00,13:00:00 - 18:00:00,5.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,08:00:00,13:00:00,08:00:00 - 13:00:00,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
